index,airline,date_of_journey,Source,destination,route,dep_time,Arrival_time,Duration,Total_stops
1,AirAsia India,2024-02-25,Guwahati,Indore,GUW-NAG-MUM-RAI-IND,01:39,14:15,3h 15min,3 stops
2,TruJet,2021-03-01,Nagpur,Pune,NAG-PUN,06:48,03:21,1h 0min,non-stop
3,Star Air,2024-04-11,Ahmedabad,Varanasi,AHM-PUN-BAN-VAR,08:54,15:50,14h 30min,2 stops
4,SpiceJet,2019-03-13,Patna,Indore,PAT-LUC-GOA-BHU-IND,18:09,08:23,7h 15min,3 stops
5,SpiceJet,2023-06-22,Raipur,Mumbai,RAI-GOA-MUM,15:05,05:52,15h 30min,1 stop
6,SpiceJet,2025-03-25,Kolkata,Bhubaneswar,KOL-BHU,11:09,03:49,7h 30min,non-stop
7,GoAir,2025-10-15,Indore,Surat,IND-SUR,22:38,02:12,7h 30min,non-stop
8,SpiceJet,2020-10-02,Ahmedabad,Bangalore,AHM-GUW-BAN,16:15,12:11,12h 0min,1 stop
9,Air India,2023-05-03,Lucknow,Guwahati,LUC-NAG-GOA-GUW,15:25,07:28,9h 0min,2 stops
10,GoAir,2025-12-01,Bangalore,Kolkata,BAN-KOL,06:49,08:44,11h 30min,non-stop
11,Alliance Air,2021-02-04,Delhi,Jaipur,DEL-PUN-JAI,20:33,10:46,10h 30min,1 stop
12,Star Air,2023-08-06,Guwahati,Indore,GUW-LUC-IND,23:43,14:15,7h 0min,1 stop
13,Star Air,2021-09-15,Lucknow,Bangalore,LUC-KOL-VAR-BAN,15:07,17:32,6h 30min,2 stops
14,GoAir,2024-06-02,Raipur,Guwahati,RAI-NAG-BAN-KOL-GUW,01:33,00:24,1h 45min,3 stops
15,AirAsia India,2019-11-03,Nagpur,Mumbai,NAG-CHE-AHM-SUR-MUM,09:04,06:32,12h 15min,3 stops
16,Alliance Air,2022-10-16,Goa,Varanasi,GOA-JAI-BHU-VAR,21:49,10:05,14h 0min,2 stops
17,TruJet,2022-09-08,Ahmedabad,Jaipur,AHM-NAG-BHU-JAI,16:35,05:59,4h 45min,2 stops
18,Akasa Air,2023-04-18,Guwahati,Varanasi,GUW-DEL-VAR,00:35,03:42,3h 45min,1 stop
19,Air India,2023-04-22,Mumbai,Raipur,MUM-GOA-RAI,06:38,19:38,11h 45min,1 stop
20,TruJet,2023-08-27,Nagpur,Chennai,NAG-LUC-JAI-CHE,19:52,00:10,5h 0min,2 stops
21,SpiceJet,2022-08-24,Patna,Jaipur,PAT-IND-JAI,10:31,01:54,7h 30min,1 stop
22,SpiceJet,2020-09-20,Jaipur,Mumbai,JAI-KOL-RAI-HYD-MUM,19:47,17:49,5h 0min,3 stops
23,SpiceJet,2024-12-27,Guwahati,Delhi,GUW-IND-PAT-DEL,20:03,16:50,7h 0min,2 stops
24,IndiGo,2020-07-27,Goa,Nagpur,GOA-NAG,20:53,22:57,15h 30min,non-stop
25,Akasa Air,2022-06-25,Raipur,Goa,RAI-VAR-AHM-HYD-GOA,20:32,22:03,7h 45min,3 stops
26,TruJet,2022-03-22,Indore,Lucknow,IND-GOA-LUC,09:48,02:15,7h 0min,1 stop
27,Akasa Air,2022-01-03,Patna,Ahmedabad,PAT-GOA-JAI-AHM,08:47,02:30,9h 45min,2 stops
28,TruJet,2024-12-20,Indore,Jaipur,IND-JAI,15:19,01:51,5h 30min,non-stop
29,SpiceJet,2020-06-27,Patna,Bangalore,PAT-LUC-KOL-BAN,00:21,16:08,4h 0min,2 stops
30,Akasa Air,2024-01-21,Patna,Jaipur,PAT-PUN-GOA-HYD-JAI,18:43,01:42,12h 0min,3 stops
31,Vistara,2019-04-05,Indore,Bangalore,IND-DEL-COC-BAN,12:20,10:02,3h 15min,2 stops
32,Air India,2025-03-19,Hyderabad,Pune,HYD-CHE-BHU-MUM-PUN,03:30,20:07,15h 45min,3 stops
33,IndiGo,2024-02-09,Bhubaneswar,Goa,BHU-SUR-IND-GOA,17:48,19:34,1h 0min,2 stops
34,Air India,2019-08-06,Varanasi,Pune,VAR-NAG-PUN,06:45,15:34,10h 30min,1 stop
35,SpiceJet,2024-06-03,Patna,Jaipur,PAT-BHU-CHE-COC-JAI,15:10,11:43,11h 15min,3 stops
36,Vistara,2019-12-25,Delhi,Surat,DEL-NAG-SUR,20:41,19:37,4h 45min,1 stop
37,SpiceJet,2020-04-02,Cochin,Goa,COC-BHU-NAG-GOA,17:54,02:14,15h 30min,2 stops
38,Air India,2020-11-04,Patna,Guwahati,PAT-GUW,03:55,04:11,7h 15min,non-stop
39,SpiceJet,2023-05-13,Hyderabad,Lucknow,HYD-VAR-RAI-LUC,21:00,16:00,9h 45min,2 stops
40,TruJet,2024-02-13,Varanasi,Bhubaneswar,VAR-PUN-JAI-BHU,04:41,20:36,4h 0min,2 stops
41,Alliance Air,2024-02-04,Delhi,Jaipur,DEL-LUC-PAT-JAI,15:03,04:53,9h 45min,2 stops
42,GoAir,2024-08-02,Nagpur,Kolkata,NAG-CHE-KOL,20:57,07:04,14h 0min,1 stop
43,Alliance Air,2020-03-16,Lucknow,Pune,LUC-PUN,18:36,13:49,12h 0min,non-stop
44,GoAir,2022-01-04,Raipur,Delhi,RAI-KOL-GOA-BAN-DEL,21:49,20:58,8h 15min,3 stops
45,GoAir,2024-12-01,Patna,Cochin,PAT-COC,05:16,02:51,7h 15min,non-stop
46,Akasa Air,2023-08-16,Mumbai,Nagpur,MUM-CHE-NAG,15:49,09:43,9h 30min,1 stop
47,Star Air,2019-09-19,Pune,Hyderabad,PUN-JAI-HYD,17:20,01:12,2h 15min,1 stop
48,GoAir,2025-05-15,Cochin,Chennai,COC-JAI-KOL-CHE,14:18,19:29,7h 15min,2 stops
49,Akasa Air,2025-07-21,Raipur,Pune,RAI-HYD-PUN,06:00,22:12,14h 30min,1 stop
50,IndiGo,2019-06-11,Indore,Chennai,IND-MUM-BHU-PUN-CHE,11:29,21:07,8h 0min,3 stops
51,TruJet,2019-07-24,Guwahati,Ahmedabad,GUW-AHM,08:57,23:30,15h 30min,non-stop
52,SpiceJet,2025-01-04,Nagpur,Indore,NAG-IND,03:06,04:49,14h 15min,non-stop
53,IndiGo,2024-04-10,Pune,Raipur,PUN-COC-DEL-RAI,11:18,03:17,12h 15min,2 stops
54,Vistara,2022-10-23,Jaipur,Guwahati,JAI-GUW,04:20,03:07,3h 45min,non-stop
55,AirAsia India,2025-07-18,Ahmedabad,Hyderabad,AHM-PUN-HYD,08:49,09:36,8h 15min,1 stop
56,Vistara,2025-01-06,Chennai,Ahmedabad,CHE-HYD-AHM,08:49,17:17,15h 0min,1 stop
57,SpiceJet,2022-10-19,Raipur,Kolkata,RAI-JAI-CHE-GOA-KOL,17:43,04:15,11h 30min,3 stops
58,GoAir,2022-08-09,Mumbai,Hyderabad,MUM-PUN-BHU-HYD,23:43,09:35,12h 0min,2 stops
59,Akasa Air,2024-03-07,Cochin,Delhi,COC-GUW-BAN-DEL,09:24,12:24,11h 45min,2 stops
60,Vistara,2020-03-02,Raipur,Delhi,RAI-GOA-DEL,15:23,14:25,15h 30min,1 stop
61,IndiGo,2019-09-03,Bhubaneswar,Varanasi,BHU-COC-VAR,07:33,21:02,14h 15min,1 stop
62,Air India,2021-05-14,Raipur,Delhi,RAI-GOA-VAR-DEL,04:25,11:22,2h 15min,2 stops
63,Star Air,2021-09-23,Goa,Bhubaneswar,GOA-JAI-RAI-BHU,07:33,07:52,12h 15min,2 stops
